epsilon_progress,nfe
0,0
21,100
93,1184
185,2273
259,3373
339,4373
409,5467
459,6565
508,7664
553,8665
594,9759
623,10858
649,11944
682,13036
704,14129
727,15129
747,16132
781,17132
803,18229
823,19328
838,20338
877,21495
909,22655
937,23815
976,24975
1007,26136
1038,27296
1089,28455
1118,29617
1160,30772
1198,31933
1234,33095
1264,34254
1302,35409
1329,36569
1359,37728
1398,38889
1432,40048
1471,41210
1504,42369
1531,43704
1547,44784
1591,45862
1640,46943
1691,48019
1736,49100
1776,50180
1805,51262
1847,52340
1865,53421
1894,54502
1929,55584
1961,56664
1993,57742
2036,58821
2062,59902
2092,60982
2121,62063
2152,63143
2180,64223
2203,65301
2229,66381
2246,67461
2271,68542
2301,69623
2334,70705
2360,71786
2380,72866
2401,73945
2422,75026
2455,76105
2472,77185
2490,78265
2522,79344
2540,80423
2557,81503
2577,82581
2593,83658
2608,84738
2617,85818
2630,86897
2645,87977
2664,89058
2682,90136
2694,91214
2709,92294
2726,93375
2738,94457
2750,95537
2769,96619
2788,97699
2799,99070
2832,100638
2878,102206
2912,103773
2928,105340
2955,106906
2979,108474
2999,110040
3013,111609
3030,113176
3054,114743
3071,116312
3078,117879
3096,119446
3113,121012
3129,122579
3150,124145
3169,125712
3183,127279
3200,128846
3219,130414
3236,131982
3250,133551
3259,135120
3273,136689
3284,138257
3297,139827
3306,141396
3318,142964
3328,144530
3339,146096
3348,147661
3359,149230
3378,150797
3390,152366
3400,153933
3417,155500
3429,157067
3436,158635
3443,160203
3451,161772
3466,163338
3476,164906
3483,166474
3490,168041
3511,169608
3521,171176
3543,172742
3554,174308
3569,175876
3581,177444
3588,179012
3595,180579
3609,182146
3623,183715
3634,185284
3650,186853
3658,188422
3666,189990
3672,191557
3683,193126
3693,194692
3698,196259
3707,197826
3718,199392
3721,200176
